category,subcategory,item_category,name,price,market,image_url,calories,protein,carbs,fat
Gıda,Temel Gıda,Unlu Mamuller,Freshun 200 gr Susamlı Galeta,"21,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Untad 4x69 gr Tandır Ekmeği,"59,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/untad-4x69-gr-tandir-ekmegi-_1445129.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,7Days Croissant 60 gr Kakao Kremalı Kruvasan,"22,00 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/7days-croissant-60-gr-kakao-kremali-kruvasan-_1907403.jpg,228,19.6,57.9,13.7
Gıda,Temel Gıda,Unlu Mamuller,Uno 455 gr Tam Buğday Unlu Lavaş Ekmeği,"89,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/uno-455-gr-tam-bugday-unlu-lavas-ekmegi-_281453.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Untad 500 gr Light Ekmek,"79,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/untad-500-gr-light-ekmek-_1869220.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Bagetta 800 gr Yufka,"79,95 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,275,8.0,55,3.0
Gıda,Temel Gıda,Unlu Mamuller,Uno Susamlı 125 gr Grissini,"54,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Uno 460 gr Çok Tahıllı Ekmek,"49,50 TL",a101,https://cdn.cimri.io/market/88x88/uno-460-gr-cok-tahilli-ekmek-_911997.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 200 gr Kanepe Burger Ekmeği,"34,95 TL",a101,https://cdn.cimri.io/market/88x88/nimet-200-gr-kanepe-burger-ekmegi-_1981239.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 330 gr Çok Tahıllı Ekmek,"38,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-330-gr-cok-tahilli-ekmek-_912512.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 350 gr Tava Ekmek,"42,50 TL",a101,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Eti 148 gr Tuzsuz Etimek,"40,00 TL",a101,https://cdn.cimri.io/market/88x88/eti-148-gr-tuzsuz-etimek-_242756.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Eti Klasik 143 gr Etimek,"39,50 TL",Hakmarekspress,https://cdn.cimri.io/market/88x88/eti-klasik-143-gr-etimek-_293430.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,La Lorraine 95 gr Ispanak Peynir Rulo Börek,"26,95 TL",a101,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,350,25,2,28
Gıda,Temel Gıda,Unlu Mamuller,Sinangil 285 gr Gluten Yok Hamburger Ekmeği,"185,50 TL",Getir Büyük,https://cdn.cimri.io/market/88x88/sinangil-285-gr-gluten-yok-hamburger-ekmegi-_1012476.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Lavalia 30 cm 12 Adet 1080 gr İrem Tortilla Lavaş Ekmeği,"246,50 TL",PttAVM,https://cdn.cimri.io/market/88x88/lavalia-30-cm-12-adet-1080-gr-irem-tortilla-lavas-ekmegi-_1345959.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Uno 450 gr Tam Buğday ve Kavılca Unlu Ekmek,"52,50 TL",Carrefoursa,https://cdn.cimri.io/market/88x88/uno-450-gr-tam-bugday-ve-kavilca-unlu-ekmek-_1905205.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Uno 6x282 gr Tandır Lavaş,"51,25 TL",Şok,https://cdn.cimri.io/market/88x88/uno-6x282-gr-tandir-lavas-_1726704.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Uno Anadolu 430 gr Çok Tahıllı Tava Ekmeği,"54,50 TL",Şok,https://cdn.cimri.io/market/88x88/uno-anadolu-430-gr-cok-tahilli-tava-ekmegi-_1432089.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Ülker 95 gr Marifet Sandviç Ekmek,"20,00 TL",Şok,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Ekin 800 gr Peynirli Su Böreği,"125,00 TL",Şok,https://cdn.cimri.io/market/88x88/ekin-800-gr-peynirli-su-boregi-_1436095.jpg,0,0,0,0
Gıda,Temel Gıda,Unlu Mamuller,Uno 7x65 gr Anadolu Sandviç Ekmeği,"45,50 TL",Şok,https://cdn.cimri.io/market/88x88/uno-7x65-gr-anadolu-sandvic-ekmegi-_1432712.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Uno 280 gr Tam Buğdaylı Sandviç Ekmeği,"36,95 TL",Şok,https://cdn.cimri.io/market/88x88/uno-280-gr-tam-bugdayli-sandvic-ekmegi-_1232258.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,7days 60 gr Fındık Kremalı Kruvasan,"19,90 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/7days-60-gr-findik-kremali-kruvasan-_1962439.jpg,628,15.0,17.0,61.0
Gıda,Temel Gıda,Unlu Mamuller,Tazepan 500 gr Yoğun Kepekli Ekmek,"35,00 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Untad 390 gr Sandviç Ekmeği,"74,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/untad-390-gr-sandvic-ekmegi-_1012517.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Untad 6x65 gr Sandviç Ekmeği,"74,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/untad-6x65-gr-sandvic-ekmegi-_1012111.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Evirgen 600 gr Çavdar Unu Ekmeği,"70,00 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/evirgen-600-gr-cavdar-unu-ekmegi-_1441509.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Freshun 200 gr Susamlı Galeta,"21,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Untad 4x69 gr Tandır Ekmeği,"59,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/untad-4x69-gr-tandir-ekmegi-_1445129.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,7Days Croissant 60 gr Kakao Kremalı Kruvasan,"22,00 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/7days-croissant-60-gr-kakao-kremali-kruvasan-_1907403.jpg,228,19.6,57.9,13.7
Gıda,Temel Gıda,Unlu Mamuller,Uno 455 gr Tam Buğday Unlu Lavaş Ekmeği,"89,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/uno-455-gr-tam-bugday-unlu-lavas-ekmegi-_281453.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Untad 500 gr Light Ekmek,"79,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/untad-500-gr-light-ekmek-_1869220.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Bagetta 800 gr Yufka,"79,95 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,275,8.0,55,3.0
Gıda,Temel Gıda,Unlu Mamuller,Uno Susamlı 125 gr Grissini,"54,50 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Ekin 800 gr Peynirli Su Böreği,"125,00 TL",Şok,https://cdn.cimri.io/market/88x88/ekin-800-gr-peynirli-su-boregi-_1436095.jpg,0,0,0,0
Gıda,Temel Gıda,Unlu Mamuller,Uno 7x65 gr Anadolu Sandviç Ekmeği,"45,50 TL",Şok,https://cdn.cimri.io/market/88x88/uno-7x65-gr-anadolu-sandvic-ekmegi-_1432712.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Mehmet Reis 200 gr Selanik Gevreği,"48,90 TL",Şok,https://cdn.cimri.io/market/88x88/mehmet-reis-200-gr-selanik-gevregi-_1443510.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Uno Anadolu 550 gr Tost Ekmegi,"33,25 TL",Şok,https://cdn.cimri.io/market/88x88/uno-anadolu-550-gr-tost-ekmegi-_1434814.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Tamköy 1 kg Kastamonu Yöresel Ekmek,"55,00 TL",Şok,https://cdn.cimri.io/market/88x88/tamkoy-1-kg-kastamonu-yoresel-ekmek-_1434020.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Tamköy Kavrulmuş Kesme Hamur,"79,95 TL",Şok,https://cdn.cimri.io/market/88x88/tamkoy-kavrulmus-kesme-hamur-_1434784.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Tamkçy 360 gr Üçgen Yufka,"37,00 TL",Şok,https://cdn.cimri.io/market/88x88/tamkcy-360-gr-ucgen-yufka-_1457264.jpg,275,8.0,55,3.0
Gıda,Temel Gıda,Unlu Mamuller,Uno 6x282 gr Tandır Lavaş,"51,25 TL",Şok,https://cdn.cimri.io/market/88x88/uno-6x282-gr-tandir-lavas-_1726704.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Uno Anadolu 430 gr Çok Tahıllı Tava Ekmeği,"54,50 TL",Şok,https://cdn.cimri.io/market/88x88/uno-anadolu-430-gr-cok-tahilli-tava-ekmegi-_1432089.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Ülker 95 gr Marifet Sandviç Ekmek,"20,00 TL",Şok,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,7Days Kakaolu Kremalı 6x70 gr Kruvasan,"57,50 TL",a101,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Nimet 200 gr Çörekotlu Galeta,"28,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-200-gr-corekotlu-galeta-_840258.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Tamköy 400 gr Isparta Ekmeği,"43,00 TL",Şok,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Uno Anadolu 450 gr Tam Buğday Tava Ekmeği,"54,95 TL",Şok,https://cdn.cimri.io/market/88x88/uno-anadolu-450-gr-tam-bugday-tava-ekmegi-_1436689.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Tamköy 700gr Böreklik Yufka,"79,00 TL",Şok,https://cdn.cimri.io/market/88x88/tamkoy-700gr-boreklik-yufka-_1434011.jpg,275,8.0,55,3.0
Gıda,Temel Gıda,Unlu Mamuller,Untad 460 gr Gurme Büyük Sandviç Ekmeği,"89,50 TL",Carrefour,https://cdn.cimri.io/market/88x88/untad-460-gr-gurme-buyuk-sandvic-ekmegi-_1995861.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,İhe 240 gr Ciabatta Sandviç Ekmeği,"25,00 TL",Carrefour,https://cdn.cimri.io/market/88x88/ihe-240-gr-ciabatta-sandvic-ekmegi-_1955903.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Wasa Crispbread Sesam 200 gr Susamlı Gevrek Ekmek,"113,00 TL",Carrefour,https://cdn.cimri.io/market/88x88/wasa-crispbread-sesam-200-gr-susamli-gevrek-ekmek-_279822.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Schar Pan Blanco 250 gr x 8 Adet Dilimli Ekmek,"659,73 TL",PttAVM,https://cdn.cimri.io/market/88x88/schar-pan-blanco-250-gr-x-8-adet-dilimli-ekmek-_858913.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Gourmet Bakery 200 gr Kesme Ay Çekirdekli Galeta,"77,90 TL",Carrefoursa,https://cdn.cimri.io/market/88x88/gourmet-bakery-200-gr-kesme-ay-cekirdekli-galeta-_1667970.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Superfresh 300 gr Mini Baget Ekmek,"76,90 TL",Carrefoursa,https://cdn.cimri.io/market/88x88/superfresh-300-gr-mini-baget-ekmek-_1442480.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Untad 6'lı 360 gr Ekonomik Paket Sandviç Ekmek,"74,50 TL",Carrefoursa,https://cdn.cimri.io/market/88x88/untad-6li-360-gr-ekonomik-paket-sandvic-ekmek-_1873846.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Wasa Sade 275 gr Gevrek Ekmek,"59,75 TL",Bim,https://cdn.cimri.io/market/88x88/wasa-sade-275-gr-gevrek-ekmek-_1563216.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 500 gr Yöresel Ekmek,"29,95 TL",a101,https://cdn.cimri.io/market/88x88/nimet-500-gr-yoresel-ekmek-_845727.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 500 gr Yağlı Gevrek,"69,00 TL",a101,https://cdn.cimri.io/market/88x88/nimet-500-gr-yagli-gevrek-_463867.jpg,367,6.5,83,1.5
Gıda,Temel Gıda,Unlu Mamuller,7Days Kruvasan Kakaolu 300 gr,"99,90 TL",Carrefour,https://cdn.cimri.io/market/88x88/7days-kruvasan-kakaolu-300-gr-_604061.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Nimet 330 gr Ekşi Maya Tam Buğday Ekmeği,"38,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-330-gr-eksi-maya-tam-bugday-ekmegi-_912573.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Ekmecik 6x70 gr Susamlı Hamburger Ekmeği,"52,00 TL",Bim,https://cdn.cimri.io/market/88x88/ekmecik-6x70-gr-susamli-hamburger-ekmegi-_1431469.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Mutlukal 6'lı 150 gr Lavaş Taco,"18,50 TL",a101,https://cdn.cimri.io/market/88x88/mutlukal-6li-150-gr-lavas-taco-_1433559.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,La Lorraine 80 gr Çikolatalı Kruvasan,"44,95 TL",a101,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Nimet 400 gr Kepekli Ekmek,"29,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-400-gr-kepekli-ekmek-_912409.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,La Lorraine 90 gr Fındık Kremalı Çörek,"44,95 TL",a101,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,628,15.0,17.0,61.0
Gıda,Temel Gıda,Unlu Mamuller,Nimet 150 gr Çıtır Susamlı Simit,"39,95 TL",a101,https://cdn.cimri.io/market/88x88/nimet-150-gr-citir-susamli-simit-_1444460.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Nimet 330 gr Ekşi Mayalı Siyez Buğdaylı Köy Ekmeği,"38,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-330-gr-eksi-mayali-siyez-bugdayli-koy-ekmegi-_912586.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 150 gr Bazlama Sandviç,"19,95 TL",a101,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Beygah 300 gr Beypazarı Kurusu,"64,50 TL",a101,https://cdn.cimri.io/market/88x88/beygah-300-gr-beypazari-kurusu-_1968593.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,500 gr Karadeniz Ekmek,"38,95 TL",a101,https://cdn.cimri.io/market/88x88/500-gr-karadeniz-ekmek-_1433683.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Uno 350 gr Tost Ekmeği,"38,00 TL",Şok,https://cdn.cimri.io/market/88x88/uno-350-gr-tost-ekmegi-_281504.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 360 gr Üçgen Yufka,"41,00 TL",a101,https://cdn.cimri.io/market/88x88/nimet-360-gr-ucgen-yufka-_912408.jpg,275,8.0,55,3.0
Gıda,Temel Gıda,Unlu Mamuller,Nimet 550 gr Ekmek Tost,"34,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-550-gr-ekmek-tost-_1571837.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 200 gr Sade Galeta,"28,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-200-gr-sade-galeta-_840260.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Reyondan 300 gr Ramazan Pidesi,"20,00 TL",a101,https://cdn.cimri.io/market/88x88/reyondan-300-gr-ramazan-pidesi-_426505.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Nimet 670 gr Tost Ekmeği,"40,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-670-gr-tost-ekmegi-_912455.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 276 gr Tandır Lavaş Ekmeği,"40,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-276-gr-tandir-lavas-ekmegi-_845972.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,La Lorraine 75 gr Dereotlu Poğaca,"23,95 TL",a101,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,La Lorraine 95 gr Patatesli Rulo Börek,"26,95 TL",a101,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,,,,
Gıda,Temel Gıda,Unlu Mamuller,Nimet 550 gr Köy Ekmeği,"41,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-550-gr-koy-ekmegi-_912474.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 500 gr Kepekli Tost Ekmeği,"45,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-500-gr-kepekli-tost-ekmegi-_912530.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 350 gr Pita Ekmeği,"49,95 TL",a101,https://cdn.cimri.io/market/88x88/nimet-350-gr-pita-ekmegi-_1444357.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Nimet 400 gr Çavdarlı Ekmek,"26,50 TL",a101,https://cdn.cimri.io/market/88x88/nimet-400-gr-cavdarli-ekmek-_912412.jpg,265,9,49,3
Gıda,Temel Gıda,Unlu Mamuller,Eti Etimek 3'lü Paket 429 gr Klasik Kızarmış Ekmek,"24,50 TL",a101,https://cdn.cimri.io/market/88x88/eti-etimek-3lu-paket-429-gr-klasik-kizarmis-ekmek-_281638.jpg,265,9,49,3
Süt ve Kahvaltılık,Süt ve Kahvaltılık,Bal ve Reçel,Balparmak 2 kg Yayla ve Ova Çiçek Balı,"654,95 TL",Pazarama,https://cdn.cimri.io/market/88x88/balparmak-2-kg-yayla-ve-ova-cicek-bali-_1221873.jpg,304,0.3,82,0
Süt ve Kahvaltılık,Süt ve Kahvaltılık,Bal ve Reçel,Balparmak 850 gr Yayla Süzme Çiçek Balı,"399,90 TL",Carrefour,https://cdn.cimri.io/market/88x88/balparmak-850-gr-yayla-suzme-cicek-bali-_267705.jpg,304,0.3,82,0
